iso_code,country,energy_metric,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AFG,Afghanistan,solar_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.06,0.07,0.08,0.09,0.09,0.11,0.119,0.129,0.139,0.15,0.16,0.17
AFG,Afghanistan,wind_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,biofuel_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,nuclear_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,coal_electricity,0.0,0.04,0.04,0.09,0.06,0.06,0.15,0.15,0.13,0.06,0.06,0.1,0.07,0.12,0.11,0.1,0.09,0.11,0.12,0.08,0.02,0.03,0.03,0.03,0.01,0.063,0.062,0.062,0.061,0.06,0.059
AFG,Afghanistan,gas_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,renewables_electricity,0.31,0.5,0.56,0.63,0.56,0.59,0.64,0.75,0.54,0.78,0.75,0.6,0.74,0.89,1.0,1.03,1.06,1.09,0.97,1.28,1.06,0.93,0.83,0.84,0.87,0.937,0.947,0.957,0.968,0.978,0.988
AFG,Afghanistan,fossil_electricity,0.0,0.04,0.04,0.09,0.06,0.06,0.15,0.15,0.13,0.06,0.06,0.1,0.07,0.12,0.11,0.1,0.09,0.11,0.12,0.08,0.02,0.03,0.03,0.03,0.01,0.063,0.062,0.062,0.061,0.06,0.059
ALB,Albania,hydro_capacity_gw,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.46,1.46,1.46,1.48,1.51,1.63,1.78,1.72,1.8,1.91,2.05,2.1,2.16,2.39,2.51,2.49,2.52,2.52,2.486,2.486,2.486,2.486,2.486,2.486
ALB,Albania,solar_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.1,0.21,0.31,0.297,0.347,0.398,0.448,0.499,0.549
